left_eye_from_center,right_eye_from_center,time_start,time_end
"[-2.5, -1.0]","[0.0, -0.5]",1.9282307624816895,2.357461452484131
"[-3.0, -1.0]","[0.0, -0.5]",2.357461452484131,2.413065195083618
"[-3.0, -1.0]","[0.0, -0.5]",2.413065195083618,2.4601128101348877
"[-2.5, -1.0]","[0.0, -0.5]",2.4601128101348877,2.5072388648986816
"[-3.5, -1.0]","[1.0, -1.5]",2.5072388648986816,2.553532361984253
"[-2.5, -1.0]","[-0.5, -1.0]",2.553532361984253,2.6144590377807617
"[-2.5, -1.0]","[-0.5, -1.0]",2.6144590377807617,2.66054105758667
"[-3.5, -1.5]","[-1.5, -1.0]",2.66054105758667,2.7085459232330322
"[-3.5, -1.5]","[-1.5, -1.0]",2.7085459232330322,2.754615306854248
"[-3.0, -1.0]","[-1.0, -1.5]",2.754615306854248,2.8010644912719727
"[-3.0, -1.0]","[-1.0, -1.5]",2.8010644912719727,2.848510265350342
"[-3.5, -0.5]","[-0.5, -0.5]",2.848510265350342,2.910456657409668
"[-4.0, -1.5]","[-1.0, -0.5]",2.910456657409668,2.957641839981079
"[-4.0, -0.5]","[-1.0, -1.0]",2.957641839981079,3.0050435066223145
"[-4.0, -0.5]","[-1.0, -1.0]",3.0050435066223145,3.052670955657959
"[-4.0, -0.5]","[-1.0, -1.0]",3.052670955657959,3.100611925125122
"[-4.0, -0.5]","[-1.0, -1.0]",3.100611925125122,3.1486852169036865
"[-4.0, -0.5]","[-0.5, -1.5]",3.1486852169036865,3.1957409381866455
"[-3.0, -0.5]","[0.5, -0.5]",3.1957409381866455,3.2423954010009766
"[-2.5, -1.0]","[1.0, -1.5]",3.2423954010009766,3.290616035461426
"[-2.5, -1.0]","[1.0, -1.5]",3.290616035461426,3.3351097106933594
"[-3.0, -1.0]","[0.5, -0.5]",3.3351097106933594,3.3740434646606445
"[-3.0, -1.0]","[0.5, -0.5]",3.3740434646606445,3.429196834564209
"[-3.0, -0.5]","[1.0, -1.0]",3.429196834564209,3.4763741493225098
"[-2.5, -1.0]","[0.5, -1.0]",3.4763741493225098,3.522594451904297
"[-2.5, -0.5]","[0.0, -1.0]",3.522594451904297,3.5688083171844482
"[-2.5, -0.5]","[0.0, -1.0]",3.5688083171844482,3.6153624057769775
"[-2.5, -0.5]","[1.0, -1.0]",3.6153624057769775,4.693793296813965
"[-4.0, -1.0]","[0.0, -1.0]",4.693793296813965,4.737643480300903
"[-4.0, -1.0]","[-1.0, -2.0]",4.737643480300903,4.784126281738281
"[-4.5, -1.0]","[-1.0, -1.0]",4.784126281738281,4.831739902496338
"[-4.5, -1.0]","[-1.0, -1.0]",4.831739902496338,4.879143238067627
"[-3.5, -1.0]","[-1.5, -1.0]",4.879143238067627,4.926648855209351
"[-3.5, -1.0]","[-1.5, -1.0]",4.926648855209351,4.97338342666626
"[-4.0, -0.5]","[-2.0, -1.0]",4.97338342666626,5.020662307739258
"[-4.0, -1.0]","[-1.5, -1.0]",5.020662307739258,5.068209409713745
"[-3.0, -0.5]","[-1.5, -0.5]",5.068209409713745,5.130600690841675
"[-3.0, -0.5]","[-1.5, -0.5]",5.130600690841675,5.176385879516602
"[-4.0, 0.0]","[-1.5, -1.5]",5.176385879516602,5.223193645477295
"[-4.0, 0.0]","[-1.5, -1.5]",5.223193645477295,5.270782470703125
"[-3.0, -0.5]","[-2.0, -0.5]",5.270782470703125,5.31757664680481
"[-3.0, -0.5]","[-2.0, -0.5]",5.31757664680481,5.381141185760498
"[-3.0, -1.0]","[-1.5, -1.5]",5.381141185760498,5.443693161010742
"[-3.0, -1.0]","[-1.5, -1.5]",5.443693161010742,5.490737438201904
"[-3.0, -1.0]","[-1.0, -1.0]",5.490737438201904,5.53885817527771
"[-3.0, -1.0]","[-1.0, -1.0]",5.53885817527771,5.585901260375977
"[-3.0, -1.0]","[-0.5, -1.5]",5.585901260375977,5.6335129737854
"[-3.0, -1.0]","[-0.5, -1.5]",5.6335129737854,5.6805195808410645
"[-3.0, -1.0]","[-1.5, -1.0]",5.6805195808410645,5.7275896072387695
"[-3.5, -1.0]","[-0.5, -0.5]",5.7275896072387695,5.7734222412109375
"[-3.5, -1.0]","[-1.0, -0.5]",5.7734222412109375,5.820500373840332
"[-3.5, -1.0]","[-1.0, -0.5]",5.820500373840332,5.868670463562012
"[-3.0, -0.5]","[-1.0, -1.5]",5.868670463562012,5.915735960006714
"[-3.0, -0.5]","[-1.0, -1.5]",5.915735960006714,5.96329927444458
"[-3.5, -1.0]","[-0.5, -1.0]",5.96329927444458,6.010464906692505
"[-3.5, -1.0]","[-0.5, -1.0]",6.010464906692505,6.057866096496582
"[-3.5, -1.0]","[-0.5, -1.0]",6.057866096496582,6.104607820510864
"[-3.5, -1.0]","[-0.5, -1.0]",6.104607820510864,6.151187419891357
"[-3.0, -0.5]","[-1.5, -1.0]",6.151187419891357,6.198733806610107
"[-3.0, -0.5]","[-1.5, -1.0]",6.198733806610107,6.245564699172974
"[-2.0, -1.0]","[1.5, -1.5]",6.245564699172974,6.29236912727356
"[-1.5, -0.5]","[0.5, -0.5]",6.29236912727356,6.339419841766357
"[-1.0, -1.5]","[0.5, -0.5]",6.339419841766357,6.401501178741455
"[-1.0, -1.5]","[0.5, -0.5]",6.401501178741455,6.4476659297943115
"[-2.0, -1.5]","[1.5, -0.5]",6.4476659297943115,6.495333909988403
"[-2.0, -1.5]","[1.5, -0.5]",6.495333909988403,6.5412917137146
"[-2.5, -1.5]","[0.5, -1.0]",6.5412917137146,6.588444948196411
"[-2.0, -1.0]","[1.0, -1.5]",6.588444948196411,6.650690317153931
"[-2.0, -1.0]","[1.5, -0.5]",6.650690317153931,6.713403701782227
"[-2.0, -1.0]","[1.5, -0.5]",6.713403701782227,6.759725332260132
"[-2.5, -1.0]","[0.5, -0.5]",6.759725332260132,6.806847095489502
"[-2.5, -1.0]","[0.5, -0.5]",6.806847095489502,6.85239839553833
"[-3.0, -1.5]","[0.5, -1.5]",6.85239839553833,6.899277210235596
"[-2.5, -1.0]","[0.5, -1.0]",6.899277210235596,6.9463560581207275
"[-2.0, -0.5]","[0.0, -0.5]",6.9463560581207275,7.008943319320679
"[-2.0, -0.5]","[0.0, -0.5]",7.008943319320679,7.055599689483643
"[-2.0, -0.5]","[1.0, -0.5]",7.055599689483643,7.101612091064453
"[-2.0, -0.5]","[1.0, -0.5]",7.101612091064453,7.1487085819244385
"[-2.0, -1.0]","[1.5, -0.5]",7.1487085819244385,7.1954450607299805
"[-2.0, -1.0]","[1.5, -0.5]",7.1954450607299805,7.241470575332642
"[-1.5, -0.5]","[0.5, -1.0]",7.241470575332642,7.288437128067017
"[-2.0, -1.0]","[1.5, -1.0]",7.288437128067017,7.33522367477417
"[-2.0, -1.5]","[0.5, -0.5]",7.33522367477417,7.382376194000244
"[-2.0, -1.5]","[0.5, -0.5]",7.382376194000244,7.430346250534058
"[-2.0, -1.5]","[0.5, -0.5]",7.430346250534058,7.476737022399902
"[-2.0, -1.5]","[0.5, -0.5]",7.476737022399902,7.5238823890686035
"[-2.0, -1.5]","[1.5, -0.5]",7.5238823890686035,7.570584058761597
"[-1.5, -1.0]","[0.0, -1.0]",7.570584058761597,7.617321491241455
"[-1.5, -1.0]","[0.5, -0.5]",7.617321491241455,7.663590669631958
"[-1.5, -1.0]","[0.5, -0.5]",7.663590669631958,7.711328029632568
"[-2.0, -1.0]","[1.5, -1.0]",7.711328029632568,7.757481098175049
"[-2.0, -1.0]","[1.5, -1.0]",7.757481098175049,7.805556774139404
"[-2.0, -1.5]","[0.5, -0.5]",7.805556774139404,7.851627349853516
"[-2.0, -1.5]","[0.5, -0.5]",7.851627349853516,7.899710178375244
"[-2.0, -1.5]","[0.5, -1.5]",7.899710178375244,7.945370197296143
"[-2.0, -1.5]","[0.5, -1.5]",7.945370197296143,7.992985486984253
"[-2.0, -1.5]","[0.5, -1.0]",7.992985486984253,8.040350675582886
"[-2.0, -1.5]","[0.5, -1.0]",8.040350675582886,8.0863516330719
"[-2.5, -1.0]","[0.0, -0.5]",8.0863516330719,8.13392162322998
"[-2.5, -1.0]","[0.0, -0.5]",8.13392162322998,8.181493043899536
"[-2.0, -0.5]","[0.0, -1.0]",8.181493043899536,8.228555679321289
"[-2.5, -0.5]","[0.5, -0.5]",8.228555679321289,8.276119232177734
"[-1.5, -0.5]","[0.0, -1.0]",8.276119232177734,8.338971376419067
"[-1.5, -0.5]","[0.0, -1.0]",8.338971376419067,8.386588096618652
"[-2.5, -1.5]","[1.0, -1.0]",8.386588096618652,8.433411836624146
"[-2.5, -1.5]","[1.0, -1.0]",8.433411836624146,8.480582237243652
"[-2.0, -1.0]","[1.5, -0.5]",8.480582237243652,8.527779579162598
"[-3.0, -0.5]","[1.0, -0.5]",8.527779579162598,8.574418067932129
"[-3.0, -0.5]","[1.0, -0.5]",8.574418067932129,8.62167239189148
"[-2.0, -1.0]","[0.5, -1.5]",8.62167239189148,8.668571472167969
"[-3.0, -1.0]","[0.5, -0.5]",8.668571472167969,8.71660304069519
"[-3.0, -1.0]","[0.5, -0.5]",8.71660304069519,8.763797760009766
"[-3.0, -0.5]","[0.5, -1.5]",8.763797760009766,8.811342477798462
"[-3.0, -1.5]","[0.5, -1.0]",8.811342477798462,8.857824802398682
"[-3.0, -1.5]","[0.5, -1.0]",8.857824802398682,8.905751466751099
"[-3.0, -1.0]","[1.0, -1.0]",8.905751466751099,8.952730655670166
"[-1.0, -0.5]","[1.0, -1.0]",8.952730655670166,8.99882435798645
"[-1.0, -0.5]","[1.0, -1.0]",8.99882435798645,9.045688152313232
"[-2.0, -1.5]","[1.5, -0.5]",9.045688152313232,9.092389345169067
"[-2.0, -1.5]","[1.5, -0.5]",9.092389345169067,9.139557361602783
"[-2.0, -1.0]","[0.5, -1.0]",9.139557361602783,9.185538053512573
"[-2.0, -1.0]","[0.5, -0.5]",9.185538053512573,9.232745170593262
"[-2.0, -1.0]","[0.5, -0.5]",9.232745170593262,9.279884576797485
"[-2.5, -0.5]","[1.0, -1.5]",9.279884576797485,9.32724118232727
"[-3.0, -1.0]","[0.0, -1.0]",9.32724118232727,9.37442660331726
"[-3.0, -1.0]","[0.0, -1.0]",9.37442660331726,9.420664548873901
"[-1.0, -1.5]","[0.5, -0.5]",9.420664548873901,9.46831750869751
"[-1.0, -1.5]","[0.5, -0.5]",9.46831750869751,9.530110120773315
"[-3.0, -1.0]","[0.5, -1.0]",9.530110120773315,9.577683448791504
"[-2.5, -0.5]","[0.5, -1.0]",9.577683448791504,9.623626708984375
"[-3.0, -0.5]","[0.0, -1.5]",9.623626708984375,9.670274257659912
"[-3.0, -0.5]","[0.0, -1.5]",9.670274257659912,9.71644926071167
"[-3.5, -0.5]","[0.5, -1.0]",9.71644926071167,9.7633056640625
"[-3.5, -0.5]","[0.5, -1.0]",9.7633056640625,9.811468124389648
"[-2.5, -0.5]","[-1.0, 0.0]",9.811468124389648,9.857645034790039
"[-4.0, -1.0]","[1.5, -1.0]",9.857645034790039,9.905428171157837
"[-4.0, -1.0]","[1.5, -1.0]",9.905428171157837,9.951104879379272
"[-3.5, -1.5]","[1.5, -0.5]",9.951104879379272,9.998161792755127
"[-3.5, -1.5]","[-0.5, -0.5]",9.998161792755127,10.04437255859375
"[-4.5, -1.0]","[-1.5, -0.5]",10.04437255859375,10.091661930084229
"[-4.5, -1.0]","[-1.5, -0.5]",10.091661930084229,10.138527393341064
"[-5.0, -1.0]","[0.0, -1.0]",10.138527393341064,10.18588662147522
"[-5.0, -1.0]","[0.0, -1.0]",10.18588662147522,10.233296632766724
"[-5.0, -1.5]","[1.0, -1.5]",10.233296632766724,10.280412673950195
"[-4.0, -1.0]","[0.5, -1.5]",10.280412673950195,10.326419591903687
"[-3.0, 0.0]","[1.5, -0.5]",10.326419591903687,10.388556003570557
"[-3.0, 0.0]","[1.5, -0.5]",10.388556003570557,10.435957193374634
"[-4.0, -0.5]","[0.5, -0.5]",10.435957193374634,10.48305869102478
"[-4.0, -0.5]","[0.5, -0.5]",10.48305869102478,10.52910852432251
"[-2.5, -1.0]","[1.5, -1.0]",10.52910852432251,10.576208591461182
"[-3.0, -1.0]","[1.0, -1.0]",10.576208591461182,10.623274087905884
"[-3.0, -1.0]","[1.0, -1.0]",10.623274087905884,10.669808626174927
"[-3.0, -1.5]","[0.5, -1.5]",10.669808626174927,10.715865850448608
"[-3.5, -1.5]","[0.0, -1.5]",10.715865850448608,10.762664794921875
"[-3.5, -1.5]","[0.0, -1.5]",10.762664794921875,10.81025767326355
"[-4.5, -1.0]","[2.0, -1.0]",10.81025767326355,10.85654902458191
"[-4.5, -1.0]","[2.0, -1.0]",10.85654902458191,10.903214454650879
"[-4.5, -1.0]","[1.5, -1.5]",10.903214454650879,10.9493248462677
"[-4.0, -1.0]","[1.5, -1.5]",10.9493248462677,10.997210025787354
"[-4.0, -1.0]","[1.5, -1.5]",10.997210025787354,11.044250249862671
"[-3.5, -1.5]","[-0.5, -1.5]",11.044250249862671,11.092312812805176
"[-3.0, -1.0]","[-0.5, -1.0]",11.092312812805176,11.139866590499878
"[-3.0, -1.0]","[-0.5, -1.0]",11.139866590499878,11.186699628829956
"[-4.5, -1.0]","[0.5, -1.5]",11.186699628829956,11.234240293502808
"[-4.0, -1.0]","[0.5, -1.0]",11.234240293502808,11.28036379814148
"[-4.0, -1.5]","[0.0, -1.0]",11.28036379814148,11.34249472618103
"[-4.0, -1.5]","[0.0, -1.0]",11.34249472618103,11.38940954208374
"[-4.0, -1.0]","[-0.5, -1.0]",11.38940954208374,11.437494039535522
"[-4.0, -1.0]","[-0.5, -1.0]",11.437494039535522,11.483773231506348
"[-3.5, -1.5]","[1.0, -1.0]",11.483773231506348,11.52998685836792
"[-3.5, -0.5]","[0.5, -1.0]",11.52998685836792,11.59241247177124
"[-3.5, -1.0]","[0.5, -1.0]",11.59241247177124,11.654923915863037
"[-3.5, -1.0]","[0.5, -1.0]",11.654923915863037,11.701931715011597
"[-4.0, -1.5]","[0.5, -1.0]",11.701931715011597,11.748549938201904
"[-4.0, -1.5]","[0.5, -1.0]",11.748549938201904,11.795390367507935
"[-4.0, -1.0]","[1.0, -1.0]",11.795390367507935,11.842557430267334
"[-3.0, -1.0]","[0.5, -1.5]",11.842557430267334,11.889434576034546
"[-4.0, -1.5]","[0.5, -1.0]",11.889434576034546,11.951310396194458
"[-4.0, -1.5]","[0.5, -1.0]",11.951310396194458,11.997471570968628
"[-3.0, -0.5]","[0.5, -1.0]",11.997471570968628,12.043898820877075
"[-3.0, -0.5]","[0.5, -1.0]",12.043898820877075,12.09057068824768
"[-4.0, -1.0]","[0.0, -1.0]",12.09057068824768,12.137747526168823
"[-3.5, -1.5]","[0.0, -1.5]",12.137747526168823,12.185474157333374
"[-3.5, -1.5]","[0.0, -1.5]",12.185474157333374,12.232885837554932
"[-4.0, -1.5]","[0.5, -1.5]",12.232885837554932,12.27899694442749
"[-4.0, -1.5]","[0.5, -1.5]",12.27899694442749,12.326555728912354
"[-3.5, -0.5]","[2.0, -1.5]",12.326555728912354,12.37399935722351
"[-4.5, -1.0]","[1.5, -0.5]",12.37399935722351,12.420830249786377
"[-4.5, -1.0]","[1.5, -0.5]",12.420830249786377,12.467592477798462
"[-3.0, -1.0]","[1.0, -2.0]",12.467592477798462,12.513847589492798
"[-3.0, -1.0]","[0.0, -1.0]",12.513847589492798,12.559568405151367
"[-3.0, -1.0]","[0.0, -1.0]",12.559568405151367,12.606309175491333
"[-3.0, -1.0]","[0.5, -1.0]",12.606309175491333,12.653390407562256
"[-4.0, -1.0]","[0.5, -1.0]",12.653390407562256,12.700029134750366
"[-4.0, -1.0]","[0.5, -1.0]",12.700029134750366,12.746448516845703
"[-3.0, -1.0]","[-0.5, -1.0]",12.746448516845703,12.793516397476196
"[-3.5, -1.0]","[0.0, -1.0]",12.793516397476196,12.857032775878906
"[-3.0, -0.5]","[0.0, -1.5]",12.857032775878906,12.919591903686523
"[-3.0, -0.5]","[0.0, -1.5]",12.919591903686523,12.96686339378357
"[-3.5, -1.0]","[-0.5, -1.0]",12.96686339378357,13.012946128845215
"[-3.5, -1.0]","[-0.5, -1.0]",13.012946128845215,13.058823108673096
"[-6.0, -1.0]","[-3.5, -1.5]",13.058823108673096,13.105414152145386
"[-6.0, -1.0]","[-3.5, -1.5]",13.105414152145386,13.152267217636108
"[-6.5, -1.0]","[-3.0, -2.0]",13.152267217636108,13.199516296386719
"[-7.0, -0.5]","[-3.0, -1.5]",13.199516296386719,13.24683690071106
"[-7.0, -1.0]","[-5.0, -1.5]",13.24683690071106,13.293025732040405
"[-7.0, -1.0]","[-5.0, -1.5]",13.293025732040405,13.34010934829712
"[-7.5, -1.0]","[-5.0, -0.5]",13.34010934829712,13.388340711593628
"[-7.5, -1.0]","[-5.0, -0.5]",13.388340711593628,13.434591293334961
"[-6.5, -0.5]","[-6.0, -0.5]",13.434591293334961,13.481868028640747
"[-2.0, -1.0]","[-4.5, -1.0]",13.481868028640747,13.529520511627197
"[-2.5, 0.0]","[-5.0, -0.5]",13.529520511627197,13.576481342315674
"[-2.5, 0.0]","[-5.0, -0.5]",13.576481342315674,13.623511552810669
"[-1.5, 0.0]","[-6.5, 0.0]",13.623511552810669,13.670444965362549
"[-1.5, 0.0]","[-6.5, 0.0]",13.670444965362549,13.716980218887329
"[-2.5, 0.5]","[-4.5, 0.0]",13.716980218887329,13.763633012771606
"[-2.5, 0.5]","[-4.5, 0.0]",13.763633012771606,13.809964418411255
"[-2.5, 0.5]","[-4.5, 0.0]",13.809964418411255,13.856632471084595
"[-2.5, 0.5]","[-4.5, 0.0]",13.856632471084595,13.902427434921265
"[-2.5, 0.5]","[-4.5, 0.0]",13.902427434921265,13.949561357498169
"[-2.5, 0.5]","[-4.5, 0.0]",13.949561357498169,13.996225595474243
"[-2.5, 0.5]","[-4.5, 0.0]",13.996225595474243,14.04328966140747
"[-2.5, 0.5]","[-4.5, 0.0]",14.04328966140747,14.089394330978394
"[-2.5, 0.5]","[-4.5, 0.0]",14.089394330978394,14.136178493499756
"[-1.5, -0.5]","[-3.5, -0.5]",14.136178493499756,14.18246841430664
"[-2.5, -1.0]","[-3.0, -1.5]",14.18246841430664,14.245329856872559
"[-2.5, -1.0]","[-3.0, -1.5]",14.245329856872559,14.292910099029541
"[-6.5, 1.0]","[0.0, -2.0]",14.292910099029541,14.33899474143982
"[-6.5, 1.0]","[0.0, -2.0]",14.33899474143982,14.386531829833984
"[0.0, 0.0]","[2.5, -1.5]",14.386531829833984,14.434487581253052
"[0.0, 0.0]","[2.5, -1.5]",14.434487581253052,14.481513261795044
"[-0.5, -1.5]","[3.0, -2.0]",14.481513261795044,14.527652740478516
"[1.5, -2.0]","[2.5, -0.5]",14.527652740478516,14.574243307113647
"[1.0, -1.0]","[3.0, -1.5]",14.574243307113647,14.621031999588013
"[1.0, -1.0]","[3.0, -1.5]",14.621031999588013,14.667612314224243
"[-2.0, -0.5]","[2.5, -1.0]",14.667612314224243,14.71497917175293
"[-2.0, -0.5]","[2.5, -1.0]",14.71497917175293,14.762626647949219
"[-3.0, -1.5]","[1.0, -1.5]",14.762626647949219,14.808745622634888
"[-2.0, -0.5]","[2.5, -1.0]",14.808745622634888,14.855793714523315
"[-2.5, -0.5]","[3.0, -1.5]",14.855793714523315,14.90224313735962
"[-2.5, -0.5]","[3.0, -1.5]",14.90224313735962,14.947392463684082
"[-3.5, -1.5]","[3.0, -1.0]",14.947392463684082,14.993804693222046
"[-3.5, -1.5]","[3.0, -1.0]",14.993804693222046,15.040680170059204
"[-2.0, -1.0]","[2.5, -1.5]",15.040680170059204,15.086746454238892
"[-2.0, -1.0]","[2.5, -1.5]",15.086746454238892,15.133661031723022
"[-1.0, -0.5]","[2.5, -1.0]",15.133661031723022,15.180601596832275
"[-2.0, -1.5]","[1.5, -1.5]",15.180601596832275,15.227772235870361
"[-2.0, -0.5]","[3.0, -1.0]",15.227772235870361,15.273775815963745
"[-2.0, -0.5]","[3.0, -1.0]",15.273775815963745,15.319759368896484
"[-2.0, -0.5]","[2.0, -1.0]",15.319759368896484,15.365785598754883
"[-2.0, -0.5]","[2.0, -1.0]",15.365785598754883,15.413784980773926
"[-2.0, -1.0]","[1.5, -1.5]",15.413784980773926,15.460474967956543
"[-3.0, 0.0]","[0.5, -1.0]",15.460474967956543,15.508286476135254
"[-3.5, 0.0]","[-0.5, -1.5]",15.508286476135254,15.569725275039673
"[-3.5, 0.0]","[-0.5, -1.5]",15.569725275039673,15.617437839508057
"[-4.0, -0.5]","[-1.5, -1.0]",15.617437839508057,15.663973093032837
"[-4.0, -0.5]","[-1.5, -1.0]",15.663973093032837,15.709861755371094
"[-4.0, 0.0]","[-0.5, -1.5]",15.709861755371094,15.757427453994751
"[-5.5, 0.5]","[-3.0, -1.0]",15.757427453994751,15.803368091583252
"[-5.5, 0.5]","[-3.0, -1.0]",15.803368091583252,15.849618196487427
"[-7.0, 1.0]","[-5.5, 0.0]",15.849618196487427,15.895527124404907
"[-6.5, 0.5]","[-6.0, -0.5]",15.895527124404907,15.94150996208191
"[-6.5, 0.5]","[-6.0, -0.5]",15.94150996208191,15.987912654876709
"[-6.5, 0.5]","[-5.5, 0.0]",15.987912654876709,16.034493446350098
"[-7.0, 0.0]","[-6.0, -0.5]",16.034493446350098,16.08113431930542
"[-7.0, 0.0]","[-6.0, -0.5]",16.08113431930542,16.128230094909668
"[-8.0, 0.5]","[-8.0, 0.5]",16.128230094909668,16.174784421920776
"[-7.5, 0.0]","[-7.5, -0.5]",16.174784421920776,16.22136902809143
"[-7.5, 0.0]","[-7.5, -0.5]",16.22136902809143,16.267501831054688
"[-7.0, 0.5]","[-7.0, 0.0]",16.267501831054688,16.313722372055054
"[-8.0, 0.5]","[-7.5, -0.5]",16.313722372055054,16.360783100128174
