left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-7.5, -2.0]","[4.5, -1.0]",0.0333333333333333,0.0666666666666666,"(41, 89)","(41, 87)",-7.5,4.5,0.0333333333333333,0
"[-7.5, -1.5]","[4.5, -1.5]",0.0666666666666666,0.1,"(39, 89)","(41, 86)",-7.5,4.5,0.03333333333333341,0
"[-6.5, -1.5]","[6.0, -1.5]",0.1,0.1333333333333333,"(39, 88)","(41, 86)",-6.5,6.0,0.0333333333333333,0
"[-7.0, -1.5]","[6.0, -1.5]",0.1333333333333333,0.1666666666666666,"(39, 89)","(41, 88)",-7.0,6.0,0.0333333333333333,0
"[-5.5, -1.5]","[6.0, -0.5]",0.1666666666666666,0.2,"(40, 92)","(42, 89)",-5.5,6.0,0.03333333333333341,0
"[-6.0, -2.0]","[4.5, -1.0]",0.2,0.2333333333333333,"(40, 93)","(43, 90)",-6.0,4.5,0.0333333333333333,0
"[-5.5, -2.0]","[5.0, -0.5]",0.2333333333333333,0.2666666666666666,"(40, 93)","(42, 91)",-5.5,5.0,0.0333333333333333,0
"[-5.5, -2.0]","[4.5, -1.0]",0.2666666666666666,0.3,"(41, 93)","(42, 90)",-5.5,4.5,0.03333333333333338,0
"[-5.5, -1.5]","[5.0, -1.0]",0.3,0.3333333333333333,"(40, 93)","(43, 91)",-5.5,5.0,0.033333333333333326,0
"[-5.5, -2.0]","[5.5, -1.5]",0.3333333333333333,0.3666666666666666,"(40, 92)","(42, 89)",-5.5,5.5,0.03333333333333327,0
"[-5.0, -2.0]","[5.5, -1.0]",0.3666666666666666,0.4,"(40, 92)","(42, 90)",-5.0,5.5,0.03333333333333344,0
"[-5.0, -2.0]","[6.0, -1.0]",0.4,0.4333333333333333,"(39, 92)","(41, 89)",-5.0,6.0,0.03333333333333327,0
"[-5.0, -1.5]","[6.5, -1.5]",0.4333333333333333,0.4666666666666667,"(39, 92)","(41, 90)",-5.0,6.5,0.03333333333333338,0
"[-5.0, -1.5]","[6.0, -0.5]",0.4666666666666667,0.5,"(38, 89)","(40, 89)",-5.0,6.0,0.033333333333333326,0
"[-4.5, -2.0]","[7.5, -1.0]",0.5,0.5333333333333333,"(40, 93)","(42, 91)",-4.5,7.5,0.033333333333333326,0
"[-4.5, -2.0]","[7.5, -1.0]",0.5333333333333333,0.5666666666666667,"(36, 90)","(39, 87)",-4.5,7.5,0.033333333333333326,0
"[-8.0, -2.0]","[5.5, -1.5]",0.5666666666666667,0.6,"(36, 89)","(39, 88)",-8.0,5.5,0.033333333333333326,0
"[-7.5, -2.0]","[6.0, -0.5]",0.6,0.6333333333333333,"(36, 91)","(39, 89)",-7.5,6.0,0.033333333333333326,0
