left_eye_from_center,right_eye_from_center,time_start,time_end,left_eye_dim,right_eye_dim
"[-2.0, -1.0]","[2.5, -1.0]",2.599547863006592,2.646703004837036,"(26, 38)","(26, 39)"
"[-2.0, -1.0]","[2.5, -1.0]",2.646703004837036,2.693297863006592,"(26, 38)","(26, 39)"
"[-2.0, -1.0]","[2.5, -1.0]",2.693297863006592,2.7406888008117676,"(27, 38)","(26, 39)"
"[-1.0, -1.5]","[2.5, -1.0]",2.7406888008117676,2.802490711212158,"(27, 38)","(26, 39)"
"[-1.0, -1.5]","[2.5, -1.0]",2.802490711212158,2.8644587993621826,"(26, 38)","(26, 39)"
"[-1.0, -1.0]","[2.5, -1.0]",2.8644587993621826,2.911750316619873,"(26, 38)","(26, 39)"
"[-1.0, -1.0]","[2.5, -1.0]",2.911750316619873,2.9736127853393555,"(26, 38)","(26, 39)"
"[-2.0, -1.0]","[2.5, -1.0]",2.9736127853393555,3.0203003883361816,"(26, 38)","(25, 39)"
"[-1.0, -1.0]","[1.5, -1.5]",3.0203003883361816,3.0673696994781494,"(26, 37)","(26, 38)"
"[-1.5, -1.0]","[2.0, -1.0]",3.0673696994781494,3.114429235458374,"(26, 37)","(26, 38)"
"[-1.5, -1.0]","[2.0, -1.0]",3.114429235458374,3.1620864868164062,"(25, 37)","(25, 39)"
"[-1.5, -0.5]","[1.5, -1.5]",3.1620864868164062,3.208991289138794,"(25, 37)","(25, 39)"
"[-1.5, -0.5]","[1.5, -1.5]",3.208991289138794,3.2560806274414062,"(25, 37)","(26, 39)"
"[-1.5, -0.5]","[2.5, -1.0]",3.2560806274414062,3.3191308975219727,"(25, 37)","(24, 37)"
"[-1.5, -0.5]","[2.5, -1.0]",3.3191308975219727,3.381575345993042,"(26, 37)","(26, 39)"
"[-2.5, -1.0]","[-2.5, 0.0]",3.381575345993042,3.428126811981201,"(26, 37)","(26, 39)"
"[-2.5, -1.0]","[-2.5, 0.0]",3.428126811981201,3.4901621341705322,"(26, 37)","(26, 39)"
"[-2.5, -1.0]","[-2.5, 0.0]",3.4901621341705322,3.5380935668945312,"(28, 39)","(29, 40)"
"[0.5, -1.0]","[2.0, -1.5]",3.5380935668945312,3.5845038890838623,"(28, 39)","(29, 40)"
"[0.5, -1.0]","[2.0, -1.5]",3.5845038890838623,3.6466188430786133,"(28, 39)","(29, 40)"
"[0.5, -1.0]","[2.0, -1.5]",3.6466188430786133,3.7088325023651123,"(26, 38)","(27, 38)"
"[2.0, -1.0]","[4.0, -1.5]",3.7088325023651123,3.7550113201141357,"(26, 38)","(27, 38)"
"[2.0, -1.0]","[4.0, -1.5]",3.7550113201141357,3.8021302223205566,"(26, 38)","(27, 38)"
"[2.0, -1.0]","[4.0, -1.5]",3.8021302223205566,3.848073959350586,"(28, 39)","(27, 39)"
"[2.5, -1.0]","[3.5, -1.5]",3.848073959350586,3.894536256790161,"(28, 39)","(27, 39)"
"[2.5, -1.0]","[3.5, -1.5]",3.894536256790161,3.9421188831329346,"(28, 39)","(27, 39)"
"[2.5, -1.0]","[3.5, -1.5]",3.9421188831329346,3.9891490936279297,"(28, 39)","(27, 39)"
"[2.5, -1.0]","[3.5, -1.5]",3.9891490936279297,4.035125494003296,"(28, 39)","(27, 39)"
